session_id,participant_id,label,frame_index,timestamp,ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,29,85132.3467,-0.039165,0.244800,0.670371,3.168053,0.290665,-0.106709,-0.003407,-0.123187,-0.992378
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,30,85132.3567,-0.018601,0.110546,0.900103,3.019436,-0.162051,-0.309463,-0.002700,-0.154079,-0.988055
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,31,85132.3668,-0.025459,0.020804,0.961098,2.727333,-0.261378,-0.490280,-0.004326,-0.182685,-0.983162
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,32,85132.3768,-0.026879,0.007304,0.997151,2.258473,-0.069995,-0.577309,-0.005042,-0.207392,-0.978245
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,33,85132.3869,-0.004014,0.056914,1.038746,1.664644,0.255781,-0.513347,-0.002928,-0.226713,-0.973957
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,34,85132.3970,0.030182,0.129981,1.127937,1.024877,0.501172,-0.339031,0.001877,-0.239874,-0.970802
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,35,85132.4070,0.057097,0.188889,1.264761,0.380449,0.513008,-0.145886,0.007570,-0.246705,-0.969061
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,36,85132.4171,0.088030,0.202452,1.394637,-0.181682,0.353640,0.028637,0.011991,-0.247572,-0.968795
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,37,85132.4271,0.105793,0.174005,1.429219,-0.549408,0.113149,0.138078,0.014095,-0.243890,-0.969701
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,38,85132.4372,0.102044,0.113585,1.387661,-0.729977,-0.175580,0.163954,0.013434,-0.237562,-0.971280
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,39,85132.4473,0.085286,0.072864,1.311128,-0.799981,-0.474937,0.163307,0.009853,-0.230044,-0.973130
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,40,85132.4573,0.065892,0.076110,1.210933,-0.809219,-0.715768,0.187339,0.003582,-0.222167,-0.975002
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,41,85132.4674,0.047299,0.095007,1.083344,-0.882191,-0.836736,0.262545,-0.004605,-0.213934,-0.976837
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,42,85132.4774,0.028483,0.130250,0.943000,-1.122848,-0.821238,0.374860,-0.013530,-0.204163,-0.978843
